Plate	Well	trans_track	region_5p	region_3p	trans_id	gene_name	target_id	notes	status	trans_notes	extra_notes	Highlighted regions can be found here:
1	29	WTC11_consolidated	chr2:218217185-218225938	chr2:218238453-218240799	NIC_485306	ARPC2	ARPC2+1	NIC/NNC-ONT-specific	batch2	Design primer nearly centered to junction highlighted in region_5p		
1	30	WTC11_consolidated	chr1:161314398-161328439	chr1:161356687-161356822	NIC_78892	SDHC	SDHC+1	NIC/NNC-ONT-specific	batch2	Design primer nearly centered to junction highlighted in region_5p		
1	31	WTC11_consolidated	chr3:112345013-112347421	chr3:112361598-112362041	NNC_80928	CD200	CD200+1	NIC/NNC-ONT-specific	batch2	Design primer specific to junction highlighted in region_5p		
1	32	WTC11_consolidated	chr15:44715416-44715581	chr15:44717650-44717855	NNC_381534	B2M	B2M+1	NIC/NNC-ONT-specific	batch2			
1	33	WTC11_consolidated	chr7:100057187-100057745	chr7:100063876-100064052	NNC_384123	ZSCAN21	ZSCAN21+1	NIC/NNC-ONT-specific	batch2	Design primer nearly centered to junction highlighted in region_5p		
1	34	WTC11_consolidated	chr1:63396534-63406384	chr1:63411575-63414452	NNC_39352	ALG6	ALG6+1	NIC/NNC-ONT-specific	batch2			
1	35	WTC11_consolidated	chr3:150603424-150614591	chr3:150627672-150628640	NNC_383269	SELENOT	SELENOT+1	NIC/NNC-ONT-specific	batch2	Include as much of the region_5p on the second exon (10 nt)		
1	36	WTC11_consolidated	chr1:28506235-28506311	chr1:28508848-28509017	NNC_79612	SNHG3	SNHG3+1	NIC/NNC-ONT-specific	batch2			
1	37	WTC11_consolidated	chr17:997158-997333	chr17:999540-1001073	FSM_16709	TIMM22	TIMM22+1	FSM-PB/ONT-similar	pilot	Design primer specific to junction highlighted in region_3p		
1	38	WTC11_consolidated	chr1:211673509-211673695	chr1:211663476-211667185	FSM_913	NEK2	NEK2+1	FSM-PB/ONT-similar	pilot	Design primer specific to junction highlighted in region_3p		
1	39	WTC11_consolidated	chr8:102652240-102655624	chr8:102650103-102650375	FSM_34168	KLF10	KLF10+1	FSM-PB/ONT-similar	pilot			
1	40	WTC11_consolidated	chr1:109090781-109090871	chr1:109094464-109094602	FSM_1823	TMEM167B	TMEM167B+1	FSM-PB/ONT-similar	batch2			
1	41	WTC11_consolidated	chr4:2240803-2242199	chr4:2231507-2231918	FSM_27637	HAUS3	HAUS3+1	FSM-PB/ONT-similar	batch2	Design primer nearly centered to junction highlighted in region_5p		
1	42	WTC11_consolidated	chr4:52862405-52862621	chr4:52865576-52865676	FSM_28408	RASL11B	RASL11B+1	FSM-PB/ONT-similar	batch2			
1	43	WTC11_consolidated	chr5:65552472-65562823	chr5:65526487-65548709	NIC_72714	CENPK	CENPK+1	NIC/NNC-PB/ONT-similar	batch2	Design primer nearly centered to junction highlighted in region_5p		
1	44	WTC11_consolidated	chr2:73926961-73957206	chr2:73958730-73958903	NIC_59538	DGUOK	DGUOK+1	NIC/NNC-PB/ONT-similar	batch2	Design primer nearly centered to junction highlighted in region_5p		
1	45	WTC11_consolidated	chr19:11539915-11540006	chr19:11549562-11550084	NIC_58623	CNN1	CNN1+1	NIC/NNC-PB/ONT-similar	batch2			
1	46	WTC11_consolidated	chr8:21919662-22002171	chr8:22005140-22006385	NNC_69340	XPO7	XPO7+1	NIC/NNC-PB/ONT-similar	batch2	Design primer nearly centered to junction highlighted in region_5p		
1	47	WTC11_consolidated	chr7:55951916-55951943	chr7:55954940-55955083	NNC_75388	MRPS17	MRPS17+1	NIC/NNC-PB/ONT-similar	batch2			
1	48	WTC11_consolidated	chr1:53946566-53946686	chr1:53958173-53960426	NNC_63198	LRRC42	LRRC42+1	NIC/NNC-PB/ONT-similar	batch2			
1	49	WTC11_consolidated	chr5:16465160-16465635	chr5:16451566-16451768	FSM_28983	ZNF622	ZNF622+1	FSM-pipeline-consistent	batch1			
1	50	WTC11_consolidated	chr12:55927736-55927895	chr12:55901584-55902023	FSM_7648	PYM1	PYM1+1	FSM-pipeline-consistent	batch1			
1	51	WTC11_consolidated	chr12:89351849-89352353	chr12:89348825-89349325	FSM_7937	DUSP6	DUSP6+1	FSM-pipeline-consistent	batch1			
1	52	WTC11_consolidated	chr1:211673503-211673699	chr1:211663302-211663611	FSM_913	NEK2	NEK2+2	FSM-pipeline-consistent	batch1			
1	53	WTC11_consolidated	chr16:56451104-56451305	chr16:56431487-56431918	FSM_12847	NUDT21	NUDT21+1	FSM-pipeline-consistent	batch1			
1	54	WTC11_consolidated	chr19:10701465-10701684	chr19:10713133-10713266	FSM_18744	QTRT1	QTRT1+1	FSM-pipeline-consistent	batch1			
1	55	WTC11_consolidated	chr2:47172426-47176508	chr2:47160222-47160784	FSM_21072	CALM2	CALM2+1	FSM-pipeline-consistent	batch1	Design primer specific to junction highlighted in region_5p		
1	56	WTC11_consolidated	chr3:51671246-51674283	chr3:51703732-51704143	FSM_27088	TEX264	TEX264+1	FSM-pipeline-consistent	batch1	Design region_5p primer so a few nucleotides overlap the second exon.		
1	57	WTC11_consolidated	chr7:16645518-16645644	chr7:16600492-16600893	FSM_32744	ANKMY2	ANKMY2+1	FSM-pipeline-consistent	batch2			
1	58	WTC11_consolidated	chr1:159925451-159925479	chr1:159918699-159918831	FSM_607	TAGLN2	TAGLN2+1	FSM-pipeline-consistent	batch2			
1	59	WTC11_consolidated	chr10:95290825-95290993	chr10:95238584-95238671	FSM_4157	PDLIM1	PDLIM1+1	FSM-pipeline-consistent	batch2			
1	33	WTC11_consolidated	chr19:33064784-33064884	chr19:33012662-33012723	FSM_17757	RHPN2	RHPN2+1	NIC/NNC-ONT-specific	batch2			
1	34	WTC11_consolidated	chr20:50084199-50113162	chr20:50081267-50082230	FSM_23160	UBE2V1	UBE2V1+1	NIC/NNC-ONT-specific	batch2	Design primer nearly centered to junction highlighted in region_5p		
1	35	WTC11_consolidated	chr22:38468149-38468309	chr22:38482500-38482575	FSM_24836	KDELR3	KDELR3+1	NIC/NNC-ONT-specific	batch2			
1	36	WTC11_consolidated	chr11:57737461-57738390	chr11:57740147-57740585	FSM_6503	TMX2	TMX2+1	NIC/NNC-ONT-specific	batch2			
