Plate	Well	trans_track	region_5p	region_3p	trans_id	gene_name	target_id	notes	status	trans_notes	extra_notes	pcr_status_jerryd	fran_est_tpm	Highlighted regions can be found here:
1	28	WTC11_consolidated	chr19:49496443-49497555	chr19:49499528-49499629	NIC_68628	RPS11	RPS11+1	NIC/NNC-ONT-specific	batch2	Design primer nearly centered to junction highlighted in region_5p				
1	29	WTC11_consolidated	chr2:218217185-218225938	chr2:218238453-218240799	NIC_485306	ARPC2	ARPC2+1	NIC/NNC-ONT-specific	batch2	Design primer nearly centered to junction highlighted in region_5p				
1	30	WTC11_consolidated	chr1:161314398-161328439	chr1:161356687-161356822	NIC_78892	SDHC	SDHC+1	NIC/NNC-ONT-specific	batch2	Design primer nearly centered to junction highlighted in region_5p				
1	31	WTC11_consolidated	chr3:112345013-112347421	chr3:112361598-112362041	NNC_80928	CD200	CD200+1	NIC/NNC-ONT-specific	batch2	Design primer specific to junction highlighted in region_5p				
1	32	WTC11_consolidated	chr15:44715416-44715581	chr15:44717650-44717855	NNC_381534	B2M	B2M+1	NIC/NNC-ONT-specific	batch2					
1	33	WTC11_consolidated	chr7:100057065-100057405	chr7:100063876-100064052	NNC_384123	ZSCAN21	ZSCAN21+1	NIC/NNC-ONT-specific	batch2	Design primer nearly centered to junction highlighted in region_5p	Issue with primer overlapping 3 exons - this is updated version (220920)			
1	34	WTC11_consolidated	chr1:63406334-63406394	chr1:63411845-63412081	NNC_39352	ALG6	ALG6+1	NIC/NNC-ONT-specific	batch2		Issue with multi-exon selection - this is updated version (220904)			
1	35	WTC11_consolidated	chr3:150603424-150614591	chr3:150627672-150628640	NNC_383269	SELENOT	SELENOT+1	NIC/NNC-ONT-specific	batch2	Include as much of the region_5p on the second exon (10 nt)				
1	36	WTC11_consolidated	chr1:28506235-28506311	chr1:28508848-28509017	NNC_79612	SNHG3	SNHG3+1	NIC/NNC-ONT-specific	batch2					
1	37	WTC11_consolidated	chr17:997158-997333	chr17:999540-1001073	FSM_16709	TIMM22	TIMM22+1	FSM-PB/ONT-similar	pilot	Design primer specific to junction highlighted in region_3p				
1	38	WTC11_consolidated	chr1:211673509-211673695	chr1:211663476-211667185	FSM_913	NEK2	NEK2+1	FSM-PB/ONT-similar	pilot	Design primer specific to junction highlighted in region_3p				
1	39	WTC11_consolidated	chr8:102652240-102655624	chr8:102650103-102650375	FSM_34168	KLF10	KLF10+1	FSM-PB/ONT-similar	pilot					
1	40	WTC11_consolidated	chr1:109090781-109090871	chr1:109094464-109094602	FSM_1823	TMEM167B	TMEM167B+1	FSM-PB/ONT-similar	batch2					
1	41	WTC11_consolidated	chr4:2240803-2242199	chr4:2231507-2231918	FSM_27637	HAUS3	HAUS3+1	FSM-PB/ONT-similar	batch2	Design primer nearly centered to junction highlighted in region_5p				
1	42	WTC11_consolidated	chr4:52862405-52862621	chr4:52865576-52865676	FSM_28408	RASL11B	RASL11B+1	FSM-PB/ONT-similar	batch2					
1	43	WTC11_consolidated	chr5:65552472-65562823	chr5:65529128-65529202	NIC_72714	CENPK	CENPK+1	NIC/NNC-PB/ONT-similar	batch2	Design primer nearly centered to junction highlighted in region_5p	Issue with multi-exon selection - this is updated version (220831)			
1	44	WTC11_consolidated	chr2:73926961-73957206	chr2:73958730-73958903	NIC_59538	DGUOK	DGUOK+1	NIC/NNC-PB/ONT-similar	batch2	Design primer nearly centered to junction highlighted in region_5p				
1	45	WTC11_consolidated	chr19:11539915-11540006	chr19:11549562-11550084	NIC_58623	CNN1	CNN1+1	NIC/NNC-PB/ONT-similar	batch2					
1	46	WTC11_consolidated	chr8:21919660-21999675	chr8:22004986-22006599	NNC_69340	XPO7	XPO7+1	NIC/NNC-PB/ONT-similar	batch2	Design primer nearly centered to junction highlighted in region_5p	Request Silvia manually design (220831)			
1	47	WTC11_consolidated	chr7:55951916-55951943	chr7:55954940-55955083	NNC_75388	MRPS17	MRPS17+1	NIC/NNC-PB/ONT-similar	batch2					
1	48	WTC11_consolidated	chr1:53946566-53946686	chr1:53958173-53960426	NNC_63198	LRRC42	LRRC42+1	NIC/NNC-PB/ONT-similar	batch2					
1	49	WTC11_consolidated	chr5:16465160-16465635	chr5:16451566-16451768	FSM_28983	ZNF622	ZNF622+1	FSM-pipeline-consistent	batch1					
1	50	WTC11_consolidated	chr12:55927736-55927895	chr12:55901584-55902023	FSM_7648	PYM1	PYM1+1	FSM-pipeline-consistent	batch1					
1	51	WTC11_consolidated	chr12:89351849-89352353	chr12:89348825-89349325	FSM_7937	DUSP6	DUSP6+1	FSM-pipeline-consistent	batch1					
1	52	WTC11_consolidated	chr1:211673503-211673699	chr1:211663302-211663611	FSM_913	NEK2	NEK2+2	FSM-pipeline-consistent	batch1					
1	53	WTC11_consolidated	chr16:56451104-56451305	chr16:56431487-56431918	FSM_12847	NUDT21	NUDT21+1	FSM-pipeline-consistent	batch1					
1	54	WTC11_consolidated	chr19:10701465-10701684	chr19:10713133-10713266	FSM_18744	QTRT1	QTRT1+1	FSM-pipeline-consistent	batch1					
1	55	WTC11_consolidated	chr2:47172426-47176508	chr2:47160222-47160784	FSM_21072	CALM2	CALM2+1	FSM-pipeline-consistent	batch1	Design primer specific to junction highlighted in region_5p				
1	56	WTC11_consolidated	chr3:51671246-51674283	chr3:51703732-51704143	FSM_27088	TEX264	TEX264+1	FSM-pipeline-consistent	batch1	Design region_5p primer so a few nucleotides overlap the second exon.				
1	57	WTC11_consolidated	chr7:16645518-16645644	chr7:16600492-16600893	FSM_32744	ANKMY2	ANKMY2+1	FSM-pipeline-consistent	batch2					
1	58	WTC11_consolidated	chr1:159925451-159925479	chr1:159918699-159918831	FSM_607	TAGLN2	TAGLN2+1	FSM-pipeline-consistent	batch2					
1	59	WTC11_consolidated	chr10:95290825-95290993	chr10:95238584-95238671	FSM_4157	PDLIM1	PDLIM1+1	FSM-pipeline-consistent	batch2					
1	60	WTC11_consolidated	chr8:102655606-102655705	chr8:102650150-102650362	FSM_34168	KLF10	KLF10+2	FSM-pipeline-consistent	batch3					
1	61	WTC11_consolidated	chrX:72181728-72196869	chrX:72197378-72197534	NIC_62916	PIN4	PIN4+1	NIC-pipeline-consistent	batch3	Designer primer specific to junction highlighted in region_5p. Ensure that more of the primer overlaps the upstream exon (avoiding possibility of 3'-match non-specific annealing).	Issue with not selecting a transcript region in region_3p - this is updated version (220920)			
1	62	WTC11_consolidated	chr19:48993682-48993830	chr19:49015571-49015649	NIC_58857	RUVBL2	RUVBL2+1	NIC-pipeline-consistent	batch3		2			
1	63	WTC11_consolidated	chr10:72216031-72216080	chr10:72233023-72233122	NIC_39183	ANAPC16	ANAPC16+1	NIC-pipeline-consistent	batch3		May need higher read depth to find the target. Did not design a junction-specific primer.			
1	64	WTC11_consolidated	chr20:24970274-24970367	chr20:24963678-24963934	NIC_59594	APMAP	APMAP+1	NIC-pipeline-consistent	batch3		May need higher read depth to find the target. Did not design a junction-specific primer.			
1	65	WTC11_consolidated	chr19:57435393-57435528	chr19:57438177-57438320	NIC_39248	ZNF749	ZNF749+1	NIC-pipeline-consistent	batch3					
1	66	WTC11_consolidated	chr2:189663902-189663944	chr2:189667769-189667825	NIC_59301	ASNSD1	ASNSD1+1	NIC-pipeline-consistent	batch3					
1	67	WTC11_consolidated	chr8:119208425-119208526	chr8:119243461-119243562	NIC_62200	MAL2	MAL2+1	NIC-pipeline-consistent	batch3					
1	68	WTC11_consolidated	chr15:79896794-79896889	chr15:79845262-79845434	NIC_56943	MTHFS	MTHFS+1	NIC-pipeline-consistent	batch3					
1	69	WTC11_consolidated	chr8:93701307-93701430	chr8:93709779-93709840	NIC_39315	CIBAR1	CIBAR1+1	NIC-pipeline-consistent	batch3					
1	70	WTC11_consolidated	chr3:39407660-39407737	chr3:39411928-39411992	NIC_77005	RPSA	RPSA+1	NIC-pipeline-consistent	batch3					
1	71	WTC11_consolidated	chr5:40834505-40834593	chr5:40827438-40827570	NIC_61094	RPL37	RPL37+1	NIC-pipeline-consistent	batch3					
1	72	WTC11_consolidated	chr8:80030082-80030190	chr8:79918950-79919141	NIC_77080	MRPS28	MRPS28+1	NIC-pipeline-consistent	batch3					
1	73	WTC11_consolidated	chrX:101408234-101408271	chrX:101412152-101412203	NNC_65559	HNRNPH2	HNRNPH2+1	NNC-pipeline-consistent	batch3					
1	74	WTC11_consolidated	chr22:41621355-41621405	chr22:41636545-41636646	NNC_64547	XRCC6	XRCC6+1	NNC-pipeline-consistent	batch3					
1	75	WTC11_consolidated	chr1:26934271-26934370	chr1:26942919-26943057	NNC_63170	NUDC	NUDC+1	NNC-pipeline-consistent	batch3					
1	76	WTC11_consolidated	chr10:70442136-70442341	chr10:70435650-70435809	NNC_117384	NODAL	NODAL+1	NNC-pipeline-consistent	batch3					
1	77	WTC11_consolidated	chr7:75788141-75788211	chr7:75771935-75771993	NNC_39593	CCL26	CCL26+1	NNC-pipeline-consistent	batch3					
1	78	WTC11_consolidated	chr17:27306802-27306853	chr17:27309143-27309235	NNC_63906	WSB1	WSB1+1	NNC-pipeline-consistent	batch3					
1	79	WTC11_consolidated	chr8:90082816-90082851	chr8:90069016-90069050	NNC_75451	CALB1	CALB1+1	NNC-pipeline-consistent	batch3					
1	80	WTC11_consolidated	chr7:2242169-2242193	chr7:2239454-2239527	NNC_82869	MRM2	MRM2+1	NNC-pipeline-consistent	batch3					
1	81	WTC11_consolidated	chr17:43025478-43025523	chr17:43027221-43027281	NNC_39449	RND2	RND2+1	NNC-pipeline-consistent	batch3					
1	82	WTC11_consolidated	chr1:53946244-53946291	chr1:53928389-53928436	NNC_39338	HSPB11	HSPB11+1	NNC-pipeline-consistent	batch3					
1	83	WTC11_consolidated	chrX:97310589-97310610	chrX:97383919-97383979	NNC_39655	DIAPH2	DIAPH2+1	NNC-pipeline-consistent	batch3					
1	84	WTC11_consolidated	chr3:187180704-187180825	chr3:187171590-187171689	NNC_64587	RPL39L	RPL39L+1	NNC-pipeline-consistent	batch3					
1	85	WTC11_consolidated	chr4:102887417-102887617	chr4:102869079-102869163	NIC_379324	SLC9B1	SLC9B1+1	NIC-pipeline-rare	batch3					
1	86	WTC11_consolidated	chr1:8871903-8871971	chr1:8862990-8863205	NIC_214405	ENO1	ENO1+1	NIC-pipeline-rare	batch3					
1	87	WTC11_consolidated	chr6:106975161-106975279	chr6:106973020-106973271	NIC_262159	CD24	CD24+1	NIC-pipeline-rare	batch3					
1	88	WTC11_consolidated	chr19:5679420-5679536	chr19:5678456-5678519	NIC_378812	MICOS13	MICOS13+1	NIC-pipeline-rare	batch3					
1	89	WTC11_consolidated	chr12:55700010-55700227	chr12:55692871-55692947	NIC_531654	ITGA7	ITGA7+1	NIC-pipeline-rare	batch3					
1	90	WTC11_consolidated	chr3:184317501-184317678	chr3:184331909-184332046	NIC_256086	EIF4G1	EIF4G1+1	NIC-pipeline-rare	batch3					
1	91	WTC11_consolidated	chr11:18394701-18394852	chr11:18400631-18400725	NIC_222079	LDHA	LDHA+1	NIC-pipeline-rare	batch3					
1	92	WTC11_consolidated	chr5:138560973-138561441	chr5:138570962-138571089	NIC_259605	HSPA9	HSPA9+1	NIC-pipeline-rare	batch3					
1	93	WTC11_consolidated	chr3:184301702-184301821	chr3:184305768-184305910	NIC_256041	PSMD2	PSMD2+1	NIC-pipeline-rare	batch3					
1	94	WTC11_consolidated	chr5:147509575-147509883	chr5:147395645-147399166	NIC_259734	DPYSL3	DPYSL3+1	NIC-pipeline-rare	batch3					
1	95	WTC11_consolidated	chr4:15479246-15479310	chr4:15511442-15511590	NIC_532252	CC2D2A	CC2D2A+1	NIC-pipeline-rare	batch3					
1	96	WTC11_consolidated	chr9:128428951-128429023	chr9:128435705-128435827	NIC_532501	CERCAM	CERCAM+1	NIC-pipeline-rare	batch3					
2	1	WTC11_consolidated	chr11:842457-842496	chr11:840272-840443       	NNC_79726	POLR2L	POLR2L+1	NNC-pipeline-rare	batch3	Design primer specific to junction highlighted in region_3p	Issue with not selecting a transcript region in region_3p - this is updated version (220920)			
2	2	WTC11_consolidated	chr9:7799546-7799751	chr9:7742407-7742431	NNC_534963	DMAC1	DMAC1+1	NNC-pipeline-rare	batch3					
2	3	WTC11_consolidated	chr16:1772823-1772892	chr16:1772428-1772489	NNC_82768	MRPS34	MRPS34+1	NNC-pipeline-rare	batch3					
2	4	WTC11_consolidated	chr1:23559115-23559143	chr1:23558247-23558363	NNC_380057	ID3	ID3+1	NNC-pipeline-rare	batch3					
2	5	WTC11_consolidated	chr16:69448131-69448159	chr16:69462688-69462937	NNC_80301	CYB5B	CYB5B+1	NNC-pipeline-rare	batch3					
2	6	WTC11_consolidated	chr21:25725244-25725307	chr21:25734840-25734880	NNC_389484	GABPA	GABPA+1	NNC-pipeline-rare	batch3					
2	7	WTC11_consolidated	chr10:14519603-14519682	chr10:14455116-14455152	NNC_532919	FAM107B	FAM107B+1	NNC-pipeline-rare	batch3					
2	8	WTC11_consolidated	chr1:149923379-149923709	chr1:149901979-149902001	NNC_532635	SF3B4	SF3B4+1	NNC-pipeline-rare	batch3					
2	9	WTC11_consolidated	chr3:125313382-125313592	chr3:125272690-125272912	NNC_534199	ZNF148	ZNF148+1	NNC-pipeline-rare	batch3					
2	10	WTC11_consolidated	chr7:129019881-129019987	chr7:129005092-129005158	NNC_84136	TNPO3	TNPO3+1	NNC-pipeline-rare	batch3					
2	11	WTC11_consolidated	chr15:45023332-45023361	chr15:45061081-45061202	NNC_388728	SORD	SORD+1	NNC-pipeline-rare	batch3					
2	12	WTC11_consolidated	chr17:78186896-78186927	chr17:78175064-78175167	NNC_80336	TK1	TK1+1	NNC-pipeline-rare	batch3					
2	13	WTC11_consolidated	chr16:57260168-57260346	chr16:57256424-57256989	ENST00000704470	PLLP	PLLP+B	GENCODE-novel	batch4					
2	14	WTC11_consolidated	chr16:57260574-57260651	chr16:57256424-57256989	ENST00000704405	PLLP	PLLP+C	GENCODE-novel	batch4					
2	15	WTC11_consolidated	chr6:70955848-70955907	chr6:70861758-70861826	ENST00000704748	B3GAT2	B3GAT2+B	GENCODE-novel	batch4					
2	16	WTC11_consolidated	chrX:153505355-153505393	chrX:153506842-153506910	ENST00000706407	BGN	BGN+B	GENCODE-novel	batch4					
2	17	WTC11_consolidated	chr22:32152109-32152194	chr22:32150853-32150905	ENST00000705896	C22orf42	C22orf42+B	GENCODE-novel	batch4					
2	18	WTC11_consolidated	chr22:32155933-32156015	chr22:32152576-32152614	ENST00000705898	C22orf42	C22orf42+C	GENCODE-novel	batch4					
2	19	WTC11_consolidated	chr22:32150778-32150813	chr22:32149553-32149597	ENST00000705886	C22orf42	C22orf42+D	GENCODE-novel	batch4					
2	20	WTC11_consolidated	chr22:41572217-41572473	chr22:41574756-41574859	ENST00000706218	CSDC2	CSDC2+B	GENCODE-novel	batch4					
2	21	WTC11_consolidated	chr22:41560805-41560979	chr22:41572638-41572768	TCONS_00000096	CSDC2	CSDC2+C	GENCODE-novel	batch4					
2	22	WTC11_consolidated	chr9:137221664-137221730	chr9:137225687-137225837	ENST00000705721	CYSRT1	CYSRT1+B	GENCODE-novel	batch4					
2	23	WTC11_consolidated	chr9:137222042-137222184	chr9:137225687-137225837	ENST00000705723	CYSRT1	CYSRT1+C	GENCODE-novel	batch4					
2	24	WTC11_consolidated	chr14:100168717-100168790	chr14:100149549-100149676	ENST00000705834	DEGS2	DEGS2+B	GENCODE-novel	batch4					
2	25	WTC11_consolidated	chr14:100192275-100192406	chr14:100166622-100166683	ENST00000705832	DEGS2	DEGS2+C	GENCODE-novel	batch4					
2	26	WTC11_consolidated	chr11:75784633-75784720	chr11:75790676-75797235	ENST00000705697	DGAT2	DGAT2+D	GENCODE-novel	batch4	Design primer specific to junction highlighted in region_5p				
2	27	WTC11_consolidated	chr17:49968682-49968932	chr17:49973116-49973229	ENST00000705763	DLX4	DLX4+B	GENCODE-novel	batch4					
2	28	WTC11_consolidated	chr17:49969055-49969146	chr17:49970353-49970466	ENST00000705765	DLX4	DLX4+C	GENCODE-novel	batch4					
2	29	WTC11_consolidated	chr9:136363508-136363543	chr9:136362896-136362971	ENST00000705022	DNLZ	DNLZ+B	GENCODE-novel	batch4					
2	30	WTC11_consolidated	chr9:136360251-136360403	chr9:136359530-136359574	ENST00000705006	DNLZ	DNLZ+C	GENCODE-novel	batch4					
2	31	WTC11_consolidated	chr8:29349853-29349895	chr8:29340119-29340225	ENST00000704834	DUSP4	DUSP4+B	GENCODE-novel	batch4					
2	32	WTC11_consolidated	chr4:112145466-112145513	chr4:112180724-112180803	ENST00000705851	FAM241A	FAM241A+B	GENCODE-novel	batch4					
2	33	WTC11_consolidated	chr2:182858798-182858830	chr2:182838495-182838591	ENST00000704851	FRZB	FRZB+B	GENCODE-novel	batch4					
2	34	WTC11_consolidated	chr1:27392823-27392847	chr1:27393907-27393990	ENST00000704621	GPR3	GPR3+B	GENCODE-novel	batch4					
2	35	WTC11_consolidated	chr5:140346094-140346161	chr5:140334163-140334265	ENST00000706532	HBEGF	HBEGF+B	GENCODE-novel	batch4					
2	36	WTC11_consolidated	chr5:140337224-140337377	chr5:140334890-140335049	ENST00000705623	HBEGF	HBEGF+C	GENCODE-novel	batch4					
2	37	WTC11_consolidated	chr1:6419268-6419324	chr1:6413088-6413176	ENST00000705383	HES2	HES2+B	GENCODE-novel	batch4					
2	38	WTC11_consolidated	chr1:18928054-18928128	chr1:18908539-18908638	ENST00000700733	IFFO2	IFFO2+B	GENCODE-novel	batch4					
2	39	WTC11_consolidated	chr1:19006094-19006155	chr1:18916914-18917013	ENST00000700737	IFFO2	IFFO2+C	GENCODE-novel	batch4					
2	40	WTC11_consolidated	chr10:89417389-89417496	chr10:89418250-89418419	ENST00000705475	IFIT5	IFIT5+B	GENCODE-novel	batch4					
2	41	WTC11_consolidated	chr2:74499660-74499827	chr2:74498366-74498540	ENST00000705447	LBX2	LBX2+B	GENCODE-novel	batch4					
2	42	WTC11_consolidated	chr2:74498986-74499063	chr2:74498147-74498307	ENST00000705439	LBX2	LBX2+C	GENCODE-novel	batch4					
2	43	WTC11_consolidated	chr11:118249984-118250105	chr11:118237104-118237241	ENST00000704438	MPZL3	MPZL3+A	GENCODE-novel	batch4					
2	44	WTC11_consolidated	chr8:71844193-71844331	chr8:71842418-71842538	ENST00000704666	MSC	MSC+A	GENCODE-novel	batch4					
2	45	WTC11_consolidated	chr10:69573309-69573378	chr10:69573069-69573110	ENST00000705677	NEUROG3	NEUROG3+B	GENCODE-novel	batch4					
2	46	WTC11_consolidated	chr2:229271846-229271931	chr2:229249584-229249830	ENST00000705591	PID1	PID1+A	GENCODE-novel	batch4					
2	47	WTC11_consolidated	chr2:229262731-229262878	chr2:229249584-229249830	ENST00000705636	PID1	PID1+B	GENCODE-novel	batch4					
2	48	WTC11_consolidated	chr10:80142096-80142162	chr10:80144068-80144168	TCONS_00000025	PLAC9	PLAC9+A	GENCODE-novel	batch4					
2	49	WTC11_consolidated	chr16:57260200-57260345	chr16:57256871-57256996	ENST00000704470	PLLP	PLLP+D	GENCODE-novel	batch4					
2	50	WTC11_consolidated	chr16:57260568-57260644	chr16:57256871-57256996	ENST00000704405	PLLP	PLLP+E	GENCODE-novel	batch4					
2	51	WTC11_consolidated	chr3:43105912-43106005	chr3:43085955-43086001	ENST00000705098	POMGNT2	POMGNT2+A	GENCODE-novel	batch4					
2	52	WTC11_consolidated	chr3:43105912-43106005	chr3:42994365-42994996	ENST00000705078	POMGNT2	POMGNT2+B	GENCODE-novel	batch4					
2	53	WTC11_consolidated	chr12:15119145-15119254	chr12:15109347-15109493	ENST00000705743	RERG	RERG+A	GENCODE-novel	batch4					
2	54	WTC11_consolidated	chr12:15121074-15121122	chr12:15110168-15110278	ENST00000705793	RERG	RERG+B	GENCODE-novel	batch4					
2	55	WTC11_consolidated	chr15:89483073-89483189	chr15:89478984-89479226	ENST00000705918	RHCG	RHCG+A	GENCODE-novel	batch4					
2	56	WTC11_consolidated	chr14:63716397-63716466	chr14:63686337-63686605	ENST00000705114	SGPP1	SGPP1+A	GENCODE-novel	batch4					
2	57	WTC11_consolidated	chr3:50207363-50207454	chr3:50217696-50217792	ENST00000705529	SLC38A3	SLC38A3+A	GENCODE-novel	batch4					
2	58	WTC11_consolidated	chr3:50218377-50218463	chr3:50218979-50219126	ENST00000705534	SLC38A3	SLC38A3+B	GENCODE-novel	batch4					
2	59	WTC11_consolidated	chr18:43277258-43277305	chr18:43270558-43270644	ENST00000704521	SYT4	SYT4+A	GENCODE-novel	batch4					
2	60	WTC11_consolidated	chr4:112285680-112285789	chr4:112278147-112278375	ENST00000705120	TIFA	TIFA+A	GENCODE-novel						
2	69	WTC11_consolidated	chrX:153506665-153506804	chrX:153508292-153508437	TM_000001045734_X_ZXJ	BGN	BGN+C	GENCODE-rejected	batch4					
2	70	WTC11_consolidated	chr1:203308263-203308630	chr1:203309213-203309520	TM_000002801666_1_ZXJ	BTG2	BTG2+B	GENCODE-rejected	batch4					
2	71	WTC11_consolidated	chr22:41572208-41572335	chr22:41573902-41574158	TM_000000048178_22_DBL	CSDC2	CSDC2+D	GENCODE-rejected	batch4					
2	72	WTC11_consolidated	chr9:137221521-137221588	chr9:137225981-137226106	TM_000000255056_9_JOF	CYSRT1	CYSRT1+D	GENCODE-rejected	batch4					
2	73	WTC11_consolidated	chr8:29336258-29336293	chr8:29335830-29335929	TM_000000009243_8_BGY	DUSP4	DUSP4+C	GENCODE-rejected	batch4					
2	74	WTC11_consolidated	chr8:29337179-29337292	chr8:29336858-29336992	TM_0000000011723_8_DBL	DUSP4	DUSP4+D	GENCODE-rejected	batch4					
2	75	WTC11_consolidated	chr2:182866083-182866128	chr2:182838619-182838688	TM_000001704827_2_ZXJ	FRZB	FRZB+C	GENCODE-rejected	batch4					
2	76	WTC11_consolidated	chr1:27395192-27395344	chr1:27395558-27395687	TM_000000729301_1_ZXJ	GPR3	GPR3+C	GENCODE-rejected	batch4					
2	77	WTC11_consolidated	chr5:140333310-140333520	chr5:140332926-140333051	TM_000001690029_5_ABL	HBEGF	HBEGF+D	GENCODE-rejected	batch4	Design primer specific to junction highlighted in region_3p				
2	78	WTC11_consolidated	chr1:18905817-18905985	chr1:18905297-18905459	TM_000000351176_1_ZXJ	IFFO2	IFFO2+D	GENCODE-rejected	batch4					
2	79	WTC11_consolidated	chr10:89419161-89419289	chr10:89420917-89420983	TM_000000496628_10_ZXJ	IFIT5	IFIT5+C	GENCODE-rejected	batch4					
